Nama Kamera,Brand Kamera,Jenis Sensor,Color Depth,Dynamic Range,LowLight ISO,Price,Link
Canon EOS 300D,Canon,APS-C,21,10.8,544,"5,500,000",https://www.tokopedia.com/itabeshop/canon-eos-300d-with-ef-s-18-55mm-iii-kit?whid=0
Canon EOS 10D,Canon,APS-C,21,10.9,571,"1,200,000",https://www.tokopedia.com/afdlan/camera-canon-eos-10d?refined=true&whid=0
Nikon Coolpix P340,Nikon,"1/1.7""",20.7,11.9,273,"2,838,000",https://shopee.co.id/Nikon-Coolpix-P340-i.20952658.287075470
Nikon Coolpix P330,Nikon,"1/1.7""",21.0,11.7,213,"1,150,000",https://www.tokopedia.com/kamera2nd/kamera-nikon-coolpix-p330-white?whid=0
Panasonic Lumix DMC FX150,Panasonic,"1/1.7""",18.4,9.6,101,"310,000",https://www.tokopedia.com/sasukeinside/panasonic-lumix-dmc-fx150?whid=0
Panasonic Lumix DMC-FZ70,Panasonic,"1/2.3""",19.4,10.8,171,"4,132,500",https://www.blibli.com/p/promo-cuci-gudang-panasonic-fz-70-camera/is--DEC-60027-00391-00001
Canon EOS 4000D,Canon,APS-C,21.9,11.4,695,"3,650,000",https://www.tokopedia.com/lystastore/canon-eos-4000d-kit-18-55mm-iii-canon-4000d
Panasonic Lumix DMC-ZS50,Panasonic,"1/2.3""",20,11.2,138,"5,500,000",https://www.tokopedia.com/outdoorgearshop/panasonic-lumix-dmc-zs50-best-budget-vlogging-youtube-camera
Sony A3000,Sony,APS-C,23.7,12.8,1068,"4,200,000",https://www.tokopedia.com/josistore/sony-alpha-a3000-kit
Canon PowerShot S95,Canon,APS-C,20.4,11.3,153,"3,300,000",https://www.tokopedia.com/winnershopcam/kamera-canon-powershot-s95
Nikon D40,Nikon,APS-C,21,11,561,"1,850,000",https://www.tokopedia.com/refreshcom/nikkon-d40-kondisi-fullset-normal-jaya-fotografi
Nikon D70,Nikon,APS-C,20.4,10.3,529,"1,100,000",https://www.bukalapak.com/p/kamera/kamera-digital/4fltdnp-jual-nikon-d70-bo-mulus
Canon PowerShot S90,Canon,"1/1.7""",20.2,11,185,"2,400,000",https://www.tokopedia.com/tokyophoto/canon-power-shoot-s90
Panasonic DMC FZ28,Panasonic,,17.9,10.1,79,"1,100,000",https://www.bukalapak.com/p/kamera/kamera-digital/1jz1qao-jual-kamera-dslr-lumix-dmc-fz28-lengkap-slr-juara-bokeh-nya-bkn-canon-eos-fujifilm-olympus-nikon-sony-go-pro
Sony Alpha 100,Sony,APS-C,22,11.2,476,"3,000,000",https://www.bukalapak.com/p/kamera/kamera-digital/56cz3-jual-dslr-sony-alpha-a100-lensa-fix-sony-sam-50-1-8-tas-ori-sony
Canon PowerShot S100,Canon,"1/1.7""",20.7,11.6,153,"2,950,000",https://www.tokopedia.com/040496/kamera-canon-powershot-s100-display
Olympus SP 565 UZ,Olympus,"1/2.3""",18.7,10.1,68,"1,000,000",https://www.bukalapak.com/p/kamera/kamera-digital/2dfqrjt-jual-olympus-sp-565uz
Nikon Coolpix P6000,Nikon,"1/1.7""",19,10.2,129,"1,000,000",https://www.bukalapak.com/p/kamera/kamera-digital/4bdt1cy-jual-nikon-coolpix-p6000-gps
Olympus E450,Olympus,"4/3""",21.5,10.5,512,"1,950,000",https://www.tokopedia.com/kalandra-official/kamera-olympus-e450-body-only
Canon PowerShot S120,Canon,"1/1.7""",21.3,11.9,246,"3,250,000",https://www.tokopedia.com/tokyophoto/canon-powershot-s120
Panasonic Lumix DC-ZS70,Panasonic,"1/2.3""",19.1,10.6,106,"6,499,000",https://www.tokocamzone.com/Panasonic-Lumix-DMC-TZ90-DC-ZS70-Digital-Camera
Panasonic Lumix DMC-ZS60,Panasonic,"1/2.3""",19.3,10.6,109,"2,500,000",https://www.bukalapak.com/p/kamera/kamera-digital/cnowif-jual-camera-lumix-zs60
Panasonic Lumix DMC LX7,Panasonic,"1/1.7""",20.7,11.7,147,"3,850,000",https://www.tokopedia.com/kamera2nd/kamera-panasonic-lumix-dmc-lx7
Fujifilm FinePix F550EXR,Fujifilm,"1/2.3""",19.2,10.6,158,"2,475,000",https://www.tokopedia.com/archive-arinssportation/fujifilm-finepix-f550exr
